TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
io.protostuff.LinkBuffer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8240987934110803,588,526
io.protostuff.LimitedInputStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9910714285714286,195,192
io.protostuff.GraphIOUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6370786842294558,754,505
io.protostuff.LinkBuffer,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.876159387235608,588,537
io.protostuff.LowCopyProtobufOutput,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,389,389
io.protostuff.LimitedInputStream,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9821428571428571,195,193
io.protostuff.GraphByteArrayInput,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7531017369727048,247,203
io.protostuff.CodedInput,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7198934539690447,2079,1468
io.protostuff.ProtobufOutput,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8780561706438986,1346,1216
io.protostuff.IOUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5245428727046374,1137,421
io.protostuff.ProtobufIOUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.710950786955771,797,583
io.protostuff.ByteBufferInput,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8431906005652613,1538,1272
io.protostuff.ByteArrayInput,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.892732424136914,1741,1568
io.protostuff.GraphProtostuffOutput,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8255348847429359,616,533
io.protostuff.GraphCodedInput,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6298580393426116,245,168
io.protostuff.ProtobufException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,92,82
io.protostuff.ProtostuffOutput,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9044832155477032,527,520
io.protostuff.LowCopyProtostuffOutput,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,379,379
io.protostuff.ProtostuffIOUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.665374641054806,671,484
io.protostuff.GraphIOUtil,MUTATION,0.7072538860103627,386,10
io.protostuff.LinkBuffer,MUTATION,0.9607843137254902,306,29
io.protostuff.LowCopyProtobufOutput,MUTATION,0.9897959183673469,196,0
io.protostuff.LimitedInputStream,MUTATION,0.9611650485436893,103,42
io.protostuff.GraphByteArrayInput,MUTATION,1.0,40,14
io.protostuff.CodedInput,MUTATION,0.7197309417040358,892,384
io.protostuff.ProtobufOutput,MUTATION,0.8871595330739299,514,47
io.protostuff.IOUtil,MUTATION,0.5079365079365079,756,78
io.protostuff.ProtobufIOUtil,MUTATION,0.8073878627968337,379,86
io.protostuff.ByteBufferInput,MUTATION,0.831942789034565,839,360
io.protostuff.ByteArrayInput,MUTATION,0.9257028112449799,996,652
io.protostuff.GraphProtostuffOutput,MUTATION,0.5620767494356659,443,71
io.protostuff.GraphCodedInput,MUTATION,0.9,40,8
io.protostuff.ProtobufException,MUTATION,1.0,10,6
io.protostuff.ProtostuffOutput,MUTATION,0.9929328621908127,283,151
io.protostuff.LowCopyProtostuffOutput,MUTATION,1.0,196,0
io.protostuff.ProtostuffIOUtil,MUTATION,0.8249158249158249,297,73
